7 8 1 L Temperature Distribution
D 2	142.736	-3.186	-11.342	0.384	2.858	12.4	-6.998	11.451
E 1	-134.1	0.669	0.496	-1.342	6.355	21.334	8.654	3.505
F 1	-88	-0.342	-6.903	-3.64	6.516	9.968	4.115	13.774
G 1	-45	-2.029	0.237	-6.04	-4.243	5.191	3.59	9.527
E 2	137 -6.756	-8.704	-8.571	4.67	17.11	12.551	26.078
F 2	101.247	-5.269	-0.226	-11.171	1.331	-5.607	-1.996	2.469
G 2	-88.5	-6.114	-4.766	-4.775	-1.124	-7.926	-8.48	-10.166
D 3	41.369	-8.498	-1.643	-4.917	-7.208	18.17	15.395	10.847
E 3	93.031	-1.866	-0.736	-4.371	-2.152	13.675	-0.515	4.606
F 3	46.177	-8.026	-0.6	-11.229	0.069	10.418	-9.779	-7.152
G 3	-45.5 -2.053	-3.065	-5.495	-2.88	-4.114	-6.898	-7.365
B 4	83.612	-17.77	-8.605	-0.232	0.995	13.902	11.359	1.317
D 4	122.461	-15.643	-11.186	-3.415	3.611	11.102	7.039	-2.112
E 4	-79.062	-11.075	-10.259	-3.579	-1.15	2.067	-9.084	-9.612
F 4	-78.613	-10.059	-5.221	-6.924	1.454	-0.112	-4.858	-14.785
G 4	150.2	-7.59	4.093	-5.226	-3.13	17.228	-7.774	-22.351
A 5	17.328	-5.746	-3.888	1.077	-3.006	6.373	4.13	-14.28
B 5	-93.852	-14.476	-14.88	2.497	-1.42	10.36	0.395	5.533
D 5	-42.97	-15.91	-10.899	-0.39	-7.388	2.075	7.791	-10.485
E 5	-137.21	-4.848	-1.312	-3.001	6.214	-15.388	-0.725	-7.397
F 5	182.946	-7.808	0.092	-5.777	1.255	10.694	-7.54	-4.824
G 5	11.777	-0.181	-0.641	-0.683	-1.195	-16.748	-2.356	-9.396
A 6	-105.078	-12.283	-6.172	-2.332	0.531	10.484	-11.032	-62.182
B 6	-53.728	-15.933	-11.364	-4.82	-3.792	-5.819	-3.724	-11.959
D 6	32.408	-17.137	-5.94	-2.866	5.087	-0.656	-5.524	-8.863
E 6	38.049	-8.703	-1.029	-5.734	-3.554	22.037	-2.162	8.031
F 6	-176.687	-9.776	2.271	-4.356	-2.456	1.113	-2.835	-2.384
G 6	-6.872	-10.996	-5.092	-2.88	-0.494	-9.745	-2.705	-6.191
A 7	40.737	-18.239	-1.132	-6.625	5.284	-0.819	-7.386	-28.424
B 7	-95.71	-13.033	-3.473	-6.098	2.658	0.535	6.619	-16.985
D 7	-100.278	-12.535	-11.679	0.763	-0.889	-9.814	-1.468	-7.673
E 7	-180.347	-6.812	-4.119	-9.502	5.273	9.38	-1.7	1.818
F 7	71.978	-3.956	-2.061	-6.512	5.747	13.599	-6.853	-0.044
G 7	-88.714	-8.306	-1.046	-6.799	4.826	5.962	-0.999	-3.715
